"['#coronavirus', '#January', '#known', '#case', '#named']"
"['#Mouthwash', '#designed', '#kill', '#germs', '#mouth']"
"['#Navigating', '#air', '#travel', '#COVID-19', '#pandemic']"
"['#novelcoronavirus', '#discovered', '#China', '#winter', '#country']"
"['#snippets', '#quirk', '#Covid-19', '#tests', '#Helixs']"
"['#suggests', '#s', '#advantage', '#mutations', '#says']"
"['#variant', '#coronavirus', '#discovered', '#UK', '#scientists']"
"['#college', '#students', '#return', '#school', '#noticed']"
"['#Mr.', '#Biden', '#promised', '#deliver', '#vaccines']"
"['#failure', '#led', '#deaths', '#White', '#House']"
"['#come', '#world', '#surrounded', '#people', '#touch']"
"['#colleague', '#Brian', '#Rosenthal', '#reporter', '#found']"
"['#vaccine', '#sharing', '#program', '#Covax', '#aims']"
"['#tweet', '#sharing', '#violated', '#platforms', '#rules']"
"['#vaccines', '#enter', '#Phase', '#trials', '#researchers']"
"['#help', '#slow', '#spread', '#COVID-19', '#related']"
"['#CARES', '#Act', '#passed', '#March', '#provided']"
"['#heard', '#warnings', '#scams', '#rise', '#coronavirus']"
"['#Masks', '#protect', '#nt', '#surprise', '#point']"
"['#Facebook', '#news', '#s', '#problem', '#number']"
"['#vaccine', '#results', '#news', '#Moderna', '#companies']"
"['#gorillas', '#San', '#Diego', '#Zoo', '#tested']"
"['#Vacations', '#point', '#contention', '#families', '#friends']"
"['#pandemic', '#coronavirus', '#shaping', '#home', '#design']"
"['#Mondays', '#vaccinations', '#campaign', '#moment', '#infused']"
"['#Money', '#helps', '#children', '#buys', '#food']"
"['#Clambering', '#ceiling', '#box', '#store', '#Jeff']"
"['#Venture', '#Printed', '#posters', '#signs', '#pasted']"
"['#add', '#cybersecurity', '#threats', '#list', '#things']"
"['#case', '#scenarios', '#Ms.', '#Taylor', '#said']"
"['#sequencing', '#coronavirus', '#patchwork', '#state', '#labs']"
"['#Democrats', '#control', '#Abby', '#said', '#Mr.']"
"['#going', '#walk', '#morning', '#sun', '#shining']"
"['#explains', '#disconnect', '#falling', '#case', '#numbers']"
"['#realize', '#things', '#going', '#Mr.', '#Trump']"
"['#came', '#trip', '#shaken', '#seen', '#wrote']"
"['#problem', '#trying', '#solve', '#said', '#Dr.']"
"['#President', '#Trump', '#tests', '#developments', '#contact']"
"['#Erik', '#Prince', '#Trump', '#ally', '#head']"
"['#Places', '#Go', '#Times', '#publishes', '#travel']"
"['#Mercedes', '#Carnethon', '#vice', '#chairwoman', '#research']"
"['#time', '#Grand', '#Slam', '#champion', '#Murray']"
"['#rules', '#froze', '#transportation', '#canceled', '#weddings']"
"['#Speaking', '#news', '#briefing', '#Friday', '#Dr.']"
"['#January', '#afternoon', '#ushered', '#exam', '#room']"
"['#confronted', '#calamity', '#demands', '#stay', '#majority']"
"['#growing', '#number', '#scientists', '#health', '#officials']"
"['#leaders', '#President', '#Trump', '#described', '#arrival']"
"['#Europe', '#wave', '#engulfing', '#countries', '#situation']"
"['#waves', '#infection', '#lashed', '#country', '#politics']"
"['#comes', '#developing', '#vaccines', '#tests', '#children']"
"['#area', '#includes', '#Tottenville', '#Great', '#Kills']"
"['#United', '#Arab', '#Emirates', '#today', '#government']"
"['#s', '#consciousness', '#spirit', '#like', '#answer']"
"['#Hundreds', '#dollars', '#payments', '#begin', '#reaching']"
"['#Apoorva', '#Mandavilli', '#covers', '#science', '#health']"
"['#season', '#ended', '#October', '#year', '#Coney']"
"['#students', '#year', '#priest', '#invite', '#return']"
"['#Nightlife', '#group', '#activities', '#resumed', '#neighboring']"
"['#Republicans', '#including', '#lawmakers', '#Covid-19', '#continue']"
"['#drugs', '#Patients', '#need', '#receive', '#treatments']"
"['#Vaccine', '#experts', '#talk', '#believe', '#December']"
"['#Wealth', '#privilege', '#opened', '#doors', '#days']"
"['#s', '#situation', '#country', '#surge', '#March']"
"['#infections', '#rise', '#countries', '#taking', '#approach']"
"['#U.S.', '#midst', '#pandemic', '#wildfires', '#conflict']"
"['#New', '#York', '#City', '#resurgence', '#virus']"
"['#indications', '#point', '#things', '#getting', '#cases']"
"['#pressure', '#entered', '#holiday', '#season', '#time']"
"['#holiday', '#season', '#nt', '#time', '#United']"
"['#Trump', '#lady', '#Melania', '#presidents', '#close']"
"['#Transit', '#stations', '#days', '#month', '#people']"
"['#process', '#getting', '#exercise', '#trust', '#body']"
"['#coronavirus', '#severity', '#COVID-19', '#pandemic', '#backdrop']"
"['#states', '#opening', '#lot', '#people', '#required']"
"['#s', '#cure', '#coronavirus', '#dozens', '#drugs']"
"['#March', '#choir', '#Washington', '#State', '#decided']"
"['#parts', '#America', '#preparing', '#reopen', '#months']"
"['#CDC', '#released', '#guidelines', '#antibody', '#testing']"
"['#coronavirus', '#pandemic', '#sweeps', '#nation', '#preparing']"
"['#vaccine', '#%', '#Today', '#Moderna', '#announced']"
"['#lawmakers', '#pressing', '#ecommerce', '#media', '#platforms']"
"['#et', '#TechCrunch', '#fait', '#Verizon', '#Media']"
"['#offices', '#coronavirus', '#pandemic', '#evolved', '#threat']"
"['#spokeswoman', '#House', '#transportation', '#committee', '#said']"
"['#platforms', '#resilience', '#explained', '#Cute', '#Cat']"
"['#Feb.', '#a.m.', '#ET', '#LiveUpdated', '#President']"
"['#March', '#a.m.', '#ET', '#LiveUpdated', '#experts']"
"['#MELBOURNE', '#Australia', '#thing', '#happened', '#end']"
"['#Gov.', '#Andrew', '#Cuomo', '#said', '#New']"
"['#Take', '#example', '#men', '#showed', '#hospital']"
"['#vaccines', '#researchers', '#start', '#trials', '#time']"
"['#families', '#groups', '#forming', '#way', '#based']"
"['#control', '#outbreaks', '#White', '#House', '#Capitol']"
"['#Canyons', '#School', '#District', '#suburb', '#Salt']"
"['#reporting', '#colleagues', '#Sheila', '#Kaplan', '#Sharon']"
"['#Americans', '#begin', '#taking', '#vaccines', '#coronavirus']"
"['#politicians', '#getting', '#shot', '#edged', '#sword']"
"['#Prime', '#Minister', '#Boris', '#Johnson', '#Britain']"
"['#playing', '#U.S.', '#Open', '#comes', '#perk']"
